                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5913,                 10.461,                0.64164,                 2.1485,                 1.5581,                0.44109,                0.55675,                0.43005,                0.17562,                      0,                      0,                      0,                      0,                 1.8881,                 10.083,                0.53128,                 1.7064,                 1.6282,             0.00055385,             0.00055385,             0.00055385
                      2,                  1.558,                 9.2735,                0.58048,                 1.4972,                 1.4595,                 0.4507,                0.53528,                0.40777,                0.14929,                      0,                      0,                      0,                      0,                 2.0762,                 9.7229,                0.53452,                 1.8488,                 1.7721,              0.0011004,              0.0011004,              0.0011004
                      3,                 1.5615,                 8.9989,                0.56627,                 1.4275,                 1.4465,                0.51772,                0.55321,                0.46627,                 0.1954,                      0,                      0,                      0,                      0,                 1.9385,                 9.2657,                0.52203,                 1.5948,                 1.6158,              0.0016377,              0.0016377,              0.0016377
                      4,                 1.5107,                 8.7271,                0.53967,                 1.3398,                 1.4219,                0.55344,                0.54364,                0.48619,                0.21921,                 0.0027,                 0.0046,                  6e-05,                  1e-05,                 1.8078,                 9.0678,                 0.5049,                 1.5874,                 1.5409,              0.0016257,              0.0016257,              0.0016257
                      5,                 1.4578,                 8.5178,                 0.5247,                 1.2593,                 1.3863,                0.54941,                 0.6089,                 0.5028,                0.23189,                0.00506,                0.00153,                0.00014,                  2e-05,                 1.8105,                 8.9683,                0.49191,                 1.5005,                 1.5269,               0.001612,               0.001612,               0.001612
                      6,                 1.4357,                 8.4092,                0.51169,                 1.2273,                 1.3647,                0.53304,                0.58742,                0.51768,                 0.2524,                0.00567,                 0.0046,                0.00049,                  6e-05,                 1.7982,                 8.8002,                 0.4885,                 1.4386,                 1.4841,              0.0015982,              0.0015982,              0.0015982
                      7,                 1.3849,                 8.2225,                0.50248,                 1.1658,                  1.324,                0.60674,                0.60583,                0.54235,                0.24019,                0.00763,                 0.0046,                0.00019,                  2e-05,                 1.7453,                 8.7573,                0.48527,                 1.4027,                 1.4858,              0.0015845,              0.0015845,              0.0015845
                      8,                 1.3569,                 8.0906,                0.48671,                 1.1411,                 1.3078,                0.55177,                0.59474,                0.48633,                0.22665,                 0.0093,                0.01227,                0.00099,                0.00011,                 1.8005,                 8.6679,                0.48478,                 1.4483,                 1.5428,              0.0015707,              0.0015707,              0.0015707
                      9,                 1.3242,                 8.0268,                0.48133,                 1.1287,                 1.2897,                0.58272,                0.59049,                0.53424,                0.27097,                0.00779,                0.00767,                0.00566,                0.00057,                 1.7051,                 8.5188,                0.48873,                 1.4076,                 1.4356,               0.001557,               0.001557,               0.001557
                     10,                  1.326,                 7.9685,                0.48077,                 1.1014,                 1.2896,                0.60825,                0.64264,                0.58409,                0.30655,                 0.0134,                0.01534,                0.00176,                0.00028,                 1.6132,                 8.4271,                0.47276,                 1.2561,                 1.3786,              0.0015432,              0.0015432,              0.0015432
